band,site,recap,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,color_top,color_bottom,mb_tape,cb_side,lysis,nest_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,nest_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,nest_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,throat_avg_bright,breast_avg_bright,belly_avg_bright,vent_avg_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2870-64907,Colorado Horse Rescue,N,M,2022-08-07,119,119,119,Y,Y,90,90,90,89,89,89.5,14.88,Black,Orange,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.72090728,20.8235776,20.51249252,20.89599036,2022,NA,NA,NA,NA,119,89.16666667,90
2870-64908,Colorado Horse Rescue,N,F,2022-08-07,123,123.5,123,Y,Y,81.5,82,82,80,80,80,18.58,Red,Red,NONE,R,N,11,2850-57733,2022-06-25,4,3,3,fledged,Y,101,2850-57733,2022-08-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.54084247,22.86535394,24.19610003,23.69351944,2022,176,222,NA,NA,123.1666667,80,81.83333333
2870-64909,Colorado Horse Rescue,N,F,2022-08-07,117.5,117.5,118,Y,Y,73.5,73,73,72,72,72,17.46,Black,Red,NONE,L,Y,148,2850-57582,2022-07-30,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.53066633,38.09591392,27.94449319,30.02785311,2022,211,NA,NA,NA,117.6666667,72,73.16666667
2870-64910,Colorado Horse Rescue,N,F,2022-08-07,118,118,118,Y,Y,81,81,81,82,82,82.5,14.74,Orange,Lt Green,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.97631938,24.92539216,27.31371552,29.38580758,2022,NA,NA,NA,NA,118,82.16666667,81
2870-64911,Colorado Horse Rescue,N,unknown,2022-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95,NA,NA,NONE,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA
2870-64912,James Ditch,N,F,2022-08-09,118,118,118,Y,Y,77,77,77.5,77.5,77,77.5,17.21,White,Purple,NONE,L,Y,unknown,2870-64913,NA,unknown,unknown,unknown,unknown,unknown,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.67522433,31.56328681,27.79771685,26.26604354,2022,NA,NA,NA,NA,118,77.33333333,77.16666667
2870-64913,James Ditch,N,M,2022-08-09,119.5,120,120,Y,Y,74,74,74.5,85,85,84.5,17.38,Dk Green,Purple,NONE,L,Y,unknown,2870-64912,NA,unknown,unknown,unknown,unknown,unknown,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.31343968,24.74005151,31.67761383,22.11699568,2022,NA,NA,NA,NA,119.8333333,84.83333333,74.16666667
2870-64914,Cooks,N,F,2022-08-10,114,114,114,Y,Y,72,72,72,72,72,72.5,16.29,LT Green,Yellow,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.49399801,30.7491675,26.69208043,28.45142905,2022,NA,NA,NA,NA,114,72.16666667,72
2870-64915,Cooks,N,M,2022-08-10,120,120,119.5,Y,Y,91.5,91.5,92,92.5,92.5,92.5,16.13,Dk Blue,Lt Blue,NONE,R,Y,33,2850-57700,2022-07-06,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.296557,40.0972898,37.77161349,30.36117979,2022,187,NA,NA,NA,119.8333333,92.5,91.66666667
2870-64916,Mary Anns,N,M,2022-08-10,130,129.5,129.5,N,Y,NA,NA,NA,98,98.5,98.5,19.58,Dk Blue,Red,NONE,L,Y,1,2850-57550,2022-07-29,4,4,1,failed,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.13017614,23.44247092,26.71753739,19.42502825,2022,210,NA,NA,NA,129.6666667,98.33333333,NA
2870-64917,Mary Anns,N,NA,2022-08-10,115.5,115,115,N,N,NA,NA,NA,NA,NA,NA,15.88,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,115.1666667,NA,NA
2870-64918,Boyer,N,M,2022-08-11,121.5,121,121.5,N,Y,NA,NA,NA,85,85,85.5,17.83,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.50817547,26.50006813,23.90128116,27.50738617,2022,NA,NA,NA,NA,121.3333333,85.16666667,NA
2870-64919,Boyer,N,unknown,2022-08-11,116,116.5,116,N,N,NA,NA,NA,NA,NA,NA,17.13,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,116.1666667,NA,NA
2870-65001,Schaap,N,M,2022-07-05,116,116,116,Y,Y,81,80.5,81,81,81,81,17.9,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.5171901,36.06534064,37.06799934,32.14689099,2022,NA,NA,NA,NA,116,81,80.83333333
2870-65002,Schaap,N,F,2022-07-05,116,116,116,Y,Y,73,73.5,73,71.5,72,72,15.9,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.4624327,33.39849618,29.54894982,31.95670489,2022,NA,NA,NA,NA,116,71.83333333,73.16666667
2870-65003,Colorado Horse Rescue,N,F,2022-07-11,114,114,114,Y,Y,75,75,75,75,75,75,16.1,Red,Orange,NONE,R,Y,128,2850-57577,2022-06-10,4,4,4,fledged,Y,150,2850-57577,2022-07-29,5,5,1,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.80360253,22.7877451,28.35118976,25.32722832,2022,161,210,NA,NA,114,75,75
2870-65004,Colorado Horse Rescue,N,F,2022-07-11,117,117.5,117,Y,Y,80,80.5,80.5,82,82.5,82.5,18.3,Pink,DK Green,NONE,L,Y,145,UNB,2022-06-27,3,3,3,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.34924061,34.92050515,30.44009139,30.66229644,2022,178,NA,NA,NA,117.1666667,82.33333333,80.33333333
2870-65005,Golden Grizzly,N,F,2022-07-14,117.5,117.5,117.5,Y,Y,74,74,74,74,74,74,19.1,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.34570788,35.13792788,36.22967265,28.02931206,2022,NA,NA,NA,NA,117.5,74,74
2870-65006,Golden Grizzly,N,unknown,2022-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA
2870-65007,Golden Grizzly,N,F,2022-07-14,117.5,117.5,117.5,Y,Y,81.5,81.5,81.5,79,80,79,16.5,NA,NA,NONE,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.69041542,34.67431206,32.08893819,24.51924061,2022,NA,NA,NA,NA,117.5,79.33333333,81.5
2870-65008,Golden Grizzly,NA,unknown,2022-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA
2870-65009,Golden Grizzly,N,F,2022-07-14,116,116,116.5,Y,Y,74,74.5,74.5,75.5,75.5,75.5,17.3,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,23.8750216,35.12384015,41.96338318,32.50512296,2022,NA,NA,NA,NA,116.1666667,75.5,74.33333333
